player_id,player_display,name_key,field_status,r1_tee_time,r1_wave,venue_history_rounds,venue_history_sg,versus_expected,ch_adjustment,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,sg_rounds_12m,wins_12m,win_rate_12m,dd_delta,da_delta,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,cf_putt_2_5ft,cf_putt_5_30ft,cf_rough,cf_bunker,shotdist_50_100,shotdist_100_150,shotdist_150_200,shotdist_200plus,data_depth_class,baseline_confidence_band,debut_flag,debut_class,injury_flag
41,"Hossler, Beau",HOSSLER_BEAU,confirmed,TBD,TBD,18,0.46,0.392,0.014,0.12,-0.08,-0.48,0.23,0.45,-0.33,83,0.0,0.0,-2.3,-2.1,-0.06,-0.05,0.0,0.0,-0.02,6.9,11.6,2.1,1.4,1.9,6.1,5.9,3.5,deep,high,False,,False
39,"Hisatsune, Ryo",HISATSUNE_RYO,confirmed,TBD,TBD,8,-0.656,-1.008,-0.016,0.12,0.41,0.27,-0.03,-0.28,0.64,120,0.0,0.0,-0.3,3.1,0.04,0.01,0.0,0.0,0.04,6.9,11.9,1.9,1.2,1.8,6.1,5.9,3.5,deep,high,False,,False
144,"Adler, Patrick",ADLER_PATRICK,confirmed,TBD,TBD,0,,,,,,,,,,0,,0.0,,0.0,,,,,,,,,,,,,,thin,low,True,A,False
75,"Glover, Lucas",GLOVER_LUCAS,confirmed,TBD,TBD,48,0.769,0.399,0.038,-0.24,0.07,0.3,-0.01,-0.59,0.35,63,0.0,0.0,-12.4,9.8,0.19,0.05,0.0,0.03,0.11,6.9,11.9,2.0,1.3,1.6,6.0,6.2,3.7,medium,medium,False,,False
108,"Dunlap, Nick",DUNLAP_NICK,confirmed,TBD,TBD,6,0.873,1.812,0.022,-0.82,-1.12,0.31,0.01,0.0,-0.8,58,0.0,0.0,-5.8,-10.3,-0.12,-0.01,0.0,0.01,-0.11,6.9,11.7,2.0,1.5,2.0,6.1,5.9,3.4,medium,medium,False,,False
60,"Roy, Kevin",ROY_KEVIN,confirmed,TBD,TBD,8,1.477,1.714,0.028,-0.01,0.08,-0.4,0.14,0.28,-0.18,95,0.0,0.0,1.7,1.8,-0.03,-0.02,0.0,0.0,-0.01,6.9,11.7,2.2,1.4,1.9,6.1,5.9,3.4,deep,high,False,,False
87,"Kim, Chan",KIM_CHAN,confirmed,TBD,TBD,6,0.431,0.386,0.005,-0.45,-0.05,0.0,0.12,-0.59,0.08,99,0.0,0.0,-2.7,4.4,0.06,0.01,0.0,0.01,0.05,6.8,11.7,2.1,1.3,1.8,6.1,6.0,3.5,deep,high,False,,False
37,"Whaley, Vince",WHALEY_VINCE,confirmed,TBD,TBD,14,-0.5,-0.402,-0.011,0.14,-0.37,-0.33,0.14,0.57,-0.55,95,0.0,0.0,0.8,-6.4,-0.12,-0.05,0.0,0.0,-0.07,6.9,11.7,2.2,1.4,2.0,6.1,5.8,3.4,deep,high,False,,False
50,"Ramey, Chad",RAMEY_CHAD,confirmed,TBD,TBD,10,-1.011,-0.736,-0.015,0.06,0.06,-0.31,-0.04,0.37,-0.29,90,0.0,0.0,-0.5,1.1,-0.01,-0.02,0.0,0.0,0.0,6.9,11.8,2.2,1.4,1.8,6.1,6.0,3.5,deep,high,False,,False
98,"Garnett, Brice",GARNETT_BRICE,confirmed,TBD,TBD,26,-0.898,-0.63,-0.033,-0.64,-0.25,-0.25,-0.15,0.07,-0.65,67,0.0,0.0,-12.3,6.9,0.11,0.0,0.0,0.03,0.08,6.9,11.8,2.1,1.4,1.6,6.0,6.2,3.7,medium,medium,False,,False
46,"Ventura, Kris",VENTURA_KRIS,confirmed,TBD,TBD,6,-0.994,-0.571,-0.007,0.07,0.17,-0.34,-0.15,0.31,-0.32,71,0.0,0.0,5.6,0.5,-0.02,0.0,0.0,-0.01,-0.01,7.0,11.9,2.2,1.4,1.9,6.1,5.8,3.4,deep,high,False,,False
62,"Moore, Taylor",MOORE_TAYLOR,confirmed,TBD,TBD,10,0.369,0.257,0.005,-0.02,0.19,-0.42,0.21,0.12,-0.02,86,0.0,0.0,6.5,-4.8,-0.09,-0.02,0.0,-0.02,-0.04,6.9,11.7,2.1,1.3,2.0,6.2,5.7,3.3,deep,high,False,,False
