time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,green hit rate,"Gomez, Fabian",11,0.785,86,0.786,113,0.644,80,0.364,25,0.472,22,0.263
l12_months,green hit rate,"Penge, Marco",48,0.799,116,0.785,197,0.643,93,0.427,104,0.65,76,0.357
l12_months,green hit rate,"English, Harris",88,0.893,311,0.785,471,0.677,260,0.474,122,0.569,136,0.35
l12_months,green hit rate,"Saddier, Adrien",41,0.893,150,0.785,223,0.646,95,0.405,67,0.624,72,0.284
l12_months,green hit rate,"Chandler, Will",17,0.928,68,0.784,62,0.69,null,null,19,0.447,23,0.441
l12_months,green hit rate,"McCarthy, Denny",87,0.906,312,0.784,478,0.69,234,0.475,130,0.579,172,0.367
l12_months,green hit rate,"Lipsky, David",57,0.88,212,0.784,310,0.69,153,0.401,96,0.524,112,0.297
l12_months,green hit rate,"Niemann, Joaquin",74,0.869,229,0.783,244,0.727,152,0.476,118,0.608,75,0.417
l12_months,green hit rate,"Cummins, Quade",15,0.788,84,0.783,77,0.589,36,0.429,34,0.485,29,0.293
l12_months,green hit rate,"Rozo, Marcelo",48,0.781,132,0.783,199,0.708,94,0.377,41,0.608,57,0.438
l12_months,green hit rate,"Fowler, Rickie",75,0.849,292,0.783,404,0.67,198,0.501,116,0.6,142,0.429
l12_months,green hit rate,"Hughes, Mackenzie",80,0.898,274,0.783,347,0.712,171,0.479,138,0.489,128,0.261
l12_months,green hit rate,"Song, Younghan",33,0.858,157,0.782,233,0.685,111,0.445,64,0.631,50,0.323
l12_months,green hit rate,"Kaymer, Martin",54,0.793,175,0.782,217,0.674,116,0.511,93,0.59,100,0.342
l12_months,green hit rate,"Reavie, Chez",12,0.82,39,0.782,51,0.555,null,null,15,0.419,null,null
l12_months,green hit rate,"Smith, Cameron",53,0.772,225,0.781,263,0.658,136,0.426,112,0.547,122,0.353
l12_months,green hit rate,"Norlander, Henrik",15,0.991,82,0.781,131,0.601,52,0.391,39,0.626,44,0.397
l12_months,green hit rate,"Garcia, Sergio",69,0.857,204,0.781,237,0.777,143,0.411,97,0.643,67,0.381
l12_months,green hit rate,"Leishman, Marc",54,0.834,179,0.781,233,0.692,124,0.403,75,0.561,71,0.33
l12_months,green hit rate,"Masaveu, Luis",56,0.895,175,0.781,177,0.69,99,0.395,77,0.495,74,0.392
l12_months,green hit rate,"Jaeger, Stephan",83,0.868,259,0.781,342,0.711,181,0.434,160,0.611,147,0.343
l12_months,green hit rate,"Greyserman, Max",80,0.773,240,0.78,353,0.683,160,0.447,155,0.49,122,0.295
l12_months,green hit rate,"Kanaya, Takumi",77,0.909,298,0.779,379,0.611,171,0.4,96,0.577,118,0.275
l12_months,green hit rate,"DeChambeau, Bryson",73,0.866,205,0.779,236,0.673,149,0.507,112,0.489,85,0.318
l12_months,green hit rate,"Kim, Si Woo",103,0.877,305,0.779,498,0.747,285,0.526,120,0.491,133,0.348
l12_months,green hit rate,"Higgs, Harry",54,0.855,149,0.778,203,0.631,108,0.448,75,0.538,51,0.389
l12_months,green hit rate,"Ortiz, Carlos",69,0.813,191,0.778,230,0.618,127,0.495,109,0.583,85,0.393
l12_months,green hit rate,"Clark, Wyndham",82,0.846,261,0.776,346,0.67,175,0.558,136,0.581,146,0.339
l12_months,green hit rate,"Li, Haotong",81,0.782,199,0.776,251,0.679,133,0.47,100,0.592,98,0.428
l12_months,green hit rate,"Wolff, Matthew",55,0.854,163,0.775,211,0.64,108,0.448,108,0.533,94,0.315
l12_months,green hit rate,"Hadwin, Adam",36,0.813,150,0.774,181,0.661,87,0.496,54,0.502,49,0.26
l12_months,green hit rate,"Finau, Tony",86,0.85,285,0.774,363,0.677,173,0.394,135,0.491,162,0.428
l12_months,green hit rate,"Malnati, Peter",57,0.788,174,0.773,221,0.644,121,0.363,128,0.598,121,0.249
l12_months,green hit rate,"Glover, Lucas",94,0.943,282,0.773,389,0.667,194,0.413,85,0.577,112,0.42
