player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Kanaya, Takumi",19729,pga,pga,pga-rbc canadian open-T29_pga-john deere classic-CUT_pga-isco championship-T15_pga-corales puntacana championship-CUT_pga-3m open-CUT,-0.29,-0.29
"McCarty, Matt",28635,pga,pga,pga-the memorial tournament presented by workday-CUT_major-u.s. open-CUT_pga-travelers championship-T30_pga-genesis scottish open-CUT_major-the open championship-CUT,-0.29,-0.96
"Lipsky, David",15980,pga,pga,pga-charles schwab challenge-CUT_pga-rbc canadian open-CUT_pga-john deere classic-T21_pga-isco championship-T49_pga-3m open-CUT,-0.3,-0.27
"Garnett, Brice",11451,pga,pga,pga-rbc canadian open-T4_pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-CUT_pga-3m open-CUT,-0.31,0.41
"Shipley, Neal",32055,pga,pga,pga-rbc canadian open-T51_major-u.s. open-T65_pga-john deere classic-CUT_pga-isco championship-CUT_pga-3m open-T44,-0.32,0.22
"Clanton, Luke",32330,pga,pga,pga-rbc canadian open-T54_pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-CUT_pga-3m open-CUT,-0.33,0.56
"Dumont De Chassart, Adrien",22002,pga,pga,pga-rbc canadian open-CUT_major-u.s. open-T53_pga-john deere classic-T51_pga-isco championship-T39_pga-3m open-CUT,-0.39,-0.5
"Simpson, Webb",11049,pga,pga,pga-valspar championship-T18_pga-valero texas open-WD_pga-truist championship-T48_pga-charles schwab challenge-CUT_pga-john deere classic-CUT,-0.42,-0.19
"Hojgaard, Rasmus",23838,pga,pga,pga-the cj cup byron nelson-T62_pga-charles schwab challenge-CUT_pga-genesis scottish open-T36_major-the open championship-CUT_pga-3m open-CUT,-0.44,-1.01
"Streelman, Kevin",8480,pga,pga,pga-the cj cup byron nelson-CUT_pga-charles schwab challenge-T42_pga-john deere classic-CUT_pga-isco championship-T39_pga-3m open-T24,-0.44,0.28
"Snedeker, Brandt",8820,pga,pga,pga-the memorial tournament presented by workday-T36_pga-travelers championship-T38_pga-genesis scottish open-CUT_pga-corales puntacana championship-T48_pga-3m open-CUT,-0.46,-0.32
"Pavon, Matthieu",19960,pga,pga,pga-charles schwab challenge-CUT_pga-rbc canadian open-T20_pga-john deere classic-CUT_pga-genesis scottish open-CUT_pga-3m open-CUT,-0.49,-0.13
"Wise, Aaron",22051,pga,pga,pga-the cj cup byron nelson-CUT_pga-john deere classic-T39_pga-isco championship-T3_pga-corales puntacana championship-T15_pga-3m open-CUT,-0.49,0.41
"Pendrith, Taylor",17780,pga,pga,pga-travelers championship-61_pga-john deere classic-CUT_pga-isco championship-2_pga-corales puntacana championship-CUT_pga-3m open-CUT,-0.5,-0.65
"Vilips, Karl",24304,pga,pga,pga-charles schwab challenge-CUT_pga-rbc canadian open-CUT_pga-john deere classic-T39_pga-genesis scottish open-T30_pga-3m open-CUT,-0.56,-0.35
"Hoey, Rico",23504,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-CUT_pga-isco championship-T49_pga-corales puntacana championship-T67_pga-3m open-T62,-0.56,-0.69
