player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Svensson, Jesper",150,-0.138,0.000,30,0.010,0.003,0.077,0.192,-0.036,-0.014,0.006,0.019,0.011,0.119,2.744,"Rocket Classic","Detroit Golf Club"
"Smotherman, Austin",150,-0.023,0.000,32,0.002,-0.043,0.040,0.143,-0.020,0.003,-0.014,0.030,0.018,0.118,2.638,"Rocket Classic","Detroit Golf Club"
"Jaeger, Stephan",150,0.043,0.000,37,-0.020,-0.031,0.029,0.051,0.059,-0.005,0.021,-0.030,-0.015,0.117,2.668,"Rocket Classic","Detroit Golf Club"
"Hojgaard, Rasmus",150,0.132,0.000,25,0.032,0.032,-0.035,-0.026,-0.035,-0.015,0.019,-0.004,0.000,0.099,2.683,"Rocket Classic","Detroit Golf Club"
"Horschel, Billy",150,0.203,0.000,39,-0.031,-0.090,0.076,-0.072,-0.005,0.003,0.001,0.001,0.005,0.087,2.601,"Rocket Classic","Detroit Golf Club"
"Ventura, Kristoffer",150,-0.018,0.000,31,0.005,0.008,0.026,0.011,0.048,-0.006,0.002,0.008,0.005,0.085,2.649,"Rocket Classic","Detroit Golf Club"
"Power, Seamus",150,0.190,0.000,39,-0.030,-0.034,0.096,-0.154,0.035,0.005,-0.003,-0.024,-0.022,0.082,2.577,"Rocket Classic","Detroit Golf Club"
"Putnam, Andrew",150,0.252,0.000,37,-0.022,-0.077,0.006,-0.049,0.011,0.023,-0.021,-0.047,-0.045,0.077,2.486,"Rocket Classic","Detroit Golf Club"
"Phillips, Chandler",150,0.050,0.000,29,0.013,0.029,0.144,-0.205,0.030,0.005,-0.000,-0.031,-0.027,0.034,2.571,"Rocket Classic","Detroit Golf Club"
"Glover, Lucas",150,0.041,0.000,46,-0.062,-0.094,0.083,-0.061,0.090,0.011,-0.021,0.027,0.017,0.014,2.562,"Rocket Classic","Detroit Golf Club"
"Olesen, Thorbjorn",150,-0.067,0.000,36,-0.017,0.050,-0.086,0.109,-0.031,-0.001,0.003,0.006,0.008,-0.035,2.618,"Rocket Classic","Detroit Golf Club"
"Fishburn, Patrick",150,-0.127,0.000,34,-0.006,-0.008,0.082,-0.008,0.008,-0.004,0.004,0.012,0.012,-0.047,2.638,"Rocket Classic","Detroit Golf Club"
"Dumont De Chassart, Adrien",150,0.062,0.000,26,0.027,0.035,-0.021,-0.100,-0.044,-0.006,0.020,-0.029,-0.015,-0.056,2.632,"Rocket Classic","Detroit Golf Club"
"Hubbard, Mark",150,-0.247,0.000,37,-0.020,-0.066,0.079,0.059,0.084,0.005,-0.003,0.014,0.017,-0.095,2.602,"Rocket Classic","Detroit Golf Club"
"Ewart, A.J.",150,-0.024,0.000,27,0.025,0.028,0.029,-0.118,-0.044,0.002,0.009,-0.023,-0.012,-0.116,2.612,"Rocket Classic","Detroit Golf Club"
"Rodgers, Patrick",150,-0.160,0.000,34,-0.007,-0.012,0.030,-0.033,0.056,-0.005,0.012,-0.008,-0.000,-0.126,2.643,"Rocket Classic","Detroit Golf Club"
"Dahmen, Joel",150,-0.147,0.000,38,-0.027,-0.052,0.081,-0.026,0.013,0.009,-0.021,0.035,0.022,-0.136,2.595,"Rocket Classic","Detroit Golf Club"
"Li, Haotong",150,-0.229,0.000,30,0.007,0.047,-0.034,0.086,-0.044,-0.007,0.005,0.030,0.029,-0.138,2.686,"Rocket Classic","Detroit Golf Club"
"Shipley, Neal",150,-0.425,0.000,25,0.031,0.007,0.003,0.160,0.012,-0.005,-0.009,0.050,0.036,-0.176,2.683,"Rocket Classic","Detroit Golf Club"
"Eckroat, Austin",150,-0.085,0.000,27,0.022,0.038,0.033,-0.164,-0.039,0.001,0.003,0.001,0.006,-0.188,2.607,"Rocket Classic","Detroit Golf Club"
"Kanaya, Takumi",150,-0.127,0.000,28,0.019,-0.000,0.031,-0.122,-0.010,0.011,-0.012,-0.023,-0.025,-0.233,2.564,"Rocket Classic","Detroit Golf Club"
"Higgo, Garrick",150,-0.351,0.000,27,0.024,0.070,-0.063,0.053,0.024,-0.005,0.009,0.003,0.007,-0.237,2.690,"Rocket Classic","Detroit Golf Club"
"Hoge, Tom",150,-0.123,0.000,37,-0.020,-0.083,0.061,-0.034,-0.056,0.007,-0.000,0.009,0.015,-0.239,2.633,"Rocket Classic","Detroit Golf Club"
"Ramey, Chad",150,-0.319,0.000,33,-0.006,0.000,-0.026,0.037,0.071,0.003,0.001,-0.003,0.001,-0.240,2.603,"Rocket Classic","Detroit Golf Club"
"Pavon, Matthieu",150,-0.334,0.000,33,-0.005,0.001,0.027,0.078,-0.044,-0.001,-0.004,0.024,0.019,-0.258,2.637,"Rocket Classic","Detroit Golf Club"
"Whaley, Vince",150,-0.285,0.000,31,0.006,-0.010,0.005,-0.100,0.108,-0.001,0.021,-0.028,-0.008,-0.285,2.580,"Rocket Classic","Detroit Golf Club"
"Vilips, Karl",150,-0.263,0.000,24,0.034,0.032,0.020,-0.084,-0.050,-0.002,0.014,-0.003,0.008,-0.304,2.648,"Rocket Classic","Detroit Golf Club"
"Blanchet, Chandler",150,-0.433,0.000,31,0.005,0.017,-0.027,0.130,-0.044,0.006,-0.018,0.041,0.029,-0.322,2.655,"Rocket Classic","Detroit Golf Club"
"Kuchar, Matt",150,0.109,0.000,48,-0.068,-0.079,-0.029,-0.244,0.004,0.019,-0.013,-0.031,-0.026,-0.334,2.472,"Rocket Classic","Detroit Golf Club"
"Chatfield, Davis",150,-0.198,0.000,27,0.024,0.036,0.128,-0.273,-0.044,0.021,-0.023,-0.007,-0.009,-0.337,2.507,"Rocket Classic","Detroit Golf Club"
"Van Rooyen, Erik",150,-0.176,0.000,36,-0.017,-0.040,0.082,-0.230,0.007,-0.001,0.009,-0.008,0.000,-0.373,2.637,"Rocket Classic","Detroit Golf Club"
