event_name,course_name,player_name,dg_id,player_num,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
3M Open,TPC Twin Cities,"Vilips, Karl",24304,54304,7:29 AM,early,1,12:44 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Villegas, Camilo",9171,27770,8:13 AM,early,10,1:28 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Walker, Danny",25003,54607,8:13 AM,early,1,1:28 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Whaley, Vince",25908,51894,6:45 AM,early,10,12:00 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Wise, Aaron",22051,49964,12:44 PM,late,10,7:29 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Wood, Griffin",29710,59685,1:50 PM,late,10,8:35 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Woodland, Gary",12577,31323,12:44 PM,late,1,7:29 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Wu, Dylan",25002,54783,6:56 AM,early,10,12:11 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Yellamaraju, Sudarshan",29925,60386,7:07 AM,early,10,12:22 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Yu, Kevin",17881,45242,12:44 PM,late,10,7:29 AM,early,1,null,null,null,null,null,null,2
