player,player_display,final_pos_str,final_pos_int,final_score,rank_model,tier,vts_final,neutral_skill_sg,neutral_skill_index,venue_fit_score,venue_fit_delta,venue_history_delta,venue_history_rounds,venue_history_sg,anti_pattern_flags,anti_pattern_penalty_total,primary_trait_driver
Jake Knapp,"Knapp, Jake",T55,55,-6.0,40,4,41.15494082637463,1.4575,58.635265700483096,59.63416029854891,0.9988945980658173,-0.068,4.0,-0.383,bomb_and_spray;wedge_liability;rough_approach_liab,-8.262224064179518,OTT_Distance
Jason Day,"Day, Jason",T55,55,-6.0,52,4,37.478255606177385,0.85,43.96135265700483,44.15609311482691,0.19474045782207838,1.256,40.0,1.188,wedge_liability,-4.364956695536309,ARG_Rough
Tony Finau,"Finau, Tony",T55,55,-6.0,68,5,13.759678741900217,-0.1,21.01449275362319,26.664252689139612,5.649759935516421,-1.1256,34.0,0.543,bomb_and_spray;wedge_liability;poor_birdie_conv,-8.653857083145471,ARG_Rough
Taylor Pendrith,"Pendrith, Taylor",61,61,-5.0,64,5,24.01239475916016,0.46,34.54106280193237,41.00688424047398,6.46582143854161,1.6320000000000001,10.0,1.118,bomb_and_spray;wedge_liability;poor_birdie_conv,-8.797847816877493,OTT_Distance
Min Woo Lee,"Lee, Min Woo",T62,62,-4.0,45,4,40.37428469347629,1.08,49.51690821256038,43.94269054871566,-5.5742176638447205,0.45359999999999995,8.0,0.745,wedge_liability,-3.875682878081279,OTT_Distance
Ben James,"James, Ben",T62,62,-4.0,50,4,38.28975138620942,0.55,36.71497584541063,51.91062567082075,15.195649825410122,-0.176,4.0,-2.676,poor_birdie_conv,-2.8550277606415793,ARG_Bunker
Sam Stevens,"Stevens, Sam",T62,62,-4.0,58,5,30.41081172999126,0.51,35.7487922705314,44.35920379088013,8.610411520348727,-1.8599999999999999,6.0,-0.048,wedge_liability;poor_birdie_conv,-5.819233157742669,OTT_Distance
Adam Scott,"Scott, Adam",65,65,-3.0,39,4,41.48977131645161,1.04,48.55072463768116,56.84979978256517,8.299075144884014,0.8679999999999999,18.0,1.05,bomb_and_spray;poor_birdie_conv,-5.122929236695205,APP_Wedge
Jordan Spieth,"Spieth, Jordan",T66,66,0.0,36,4,42.803073098392034,0.91,45.410628019323674,50.40315555338527,4.992527534061594,-2.2960000000000003,20.0,0.238,bomb_and_spray,-2.3966623876765087,OTT_Distance
Lucas Glover,"Glover, Lucas",T66,66,0.0,56,5,34.484363203601184,0.2425,29.287439613526573,53.06736273671784,23.779923123191267,-2.0303999999999998,44.0,-0.208,poor_birdie_conv,-3.510178901912399,OTT_Accuracy
Ryan Fox,"Fox, Ryan",T66,66,0.0,59,5,29.113115562932958,0.59,37.68115942028986,40.25454591324381,2.5733864929539507,-0.003999999999999997,4.0,1.506,bomb_and_spray;wedge_liability,-5.657977608423652,OTT_Distance
