"Last Name","First Name","SHORT GAME","APPROACH","Driving-Distance","Driving-Accuracy","Total SG Adjustment"
"SMITH","CAMERON","-0.02","+0.00","+0.07","+0.00","+0.06"
"LAPORTA","FRANCESCO","+0.00","+0.00","+0.06","-0.00","+0.06"
"REED","PATRICK","-0.01","-0.00","+0.06","+0.00","+0.06"
"HORSCHEL","BILLY","+0.00","-0.00","+0.05","+0.00","+0.05"
"JARVIS","CASEY","+0.00","-0.00","+0.05","-0.00","+0.05"
"COUVRA","MARTIN","+0.00","+0.00","+0.04","-0.00","+0.05"
"KIM","SI WOO","-0.01","-0.00","+0.05","-0.00","+0.04"
"NAGANO","RYUTARO","+0.00","+0.00","+0.03","+0.00","+0.03"
"BRADBURY","DAN","+0.01","-0.00","+0.02","-0.00","+0.03"
"KIM","TOM","-0.01","-0.00","+0.04","-0.00","+0.03"
"JORDAN","MATTHEW","+0.00","+0.00","+0.03","+0.00","+0.03"
"CONNERS","COREY","+0.00","-0.00","+0.03","-0.00","+0.03"
"SADDIER","ADRIEN","+0.00","+0.00","+0.03","-0.00","+0.03"
"COLE","ERIC","-0.01","-0.00","+0.03","+0.00","+0.03"
"VINCENT","SCOTT","-0.01","+0.00","+0.03","-0.00","+0.02"
"KIM","MICHAEL","-0.01","-0.00","+0.03","+0.00","+0.02"
"STRAKA","SEPP","+0.00","-0.00","+0.02","-0.00","+0.02"
"LOWRY","SHANE","+0.00","-0.00","+0.02","-0.00","+0.02"
"CINK","STEWART","-0.00","+0.00","+0.02","+0.00","+0.01"
"WALLACE","MATT","-0.00","-0.00","+0.02","+0.00","+0.01"
"HALL","HARRY","-0.01","-0.00","+0.02","+0.00","+0.01"
"DAY","JASON","-0.01","+0.00","+0.02","-0.00","+0.01"
"LACROIX","FREDERIC","+0.01","+0.00","+0.00","-0.00","+0.01"
"IM","SUNGJAE","-0.01","+0.00","+0.02","-0.00","+0.01"
"TRUSLOW","AUSTEN","+0.01","+0.00","-0.00","-0.00","+0.01"
"MATSUYAMA","HIDEKI","-0.01","-0.00","+0.01","+0.00","+0.01"
"WIEDEMEYER","TIM","+0.00","+0.00","+0.00","+0.00","+0.01"
"MORIKAWA","COLLIN","-0.00","-0.00","+0.01","-0.00","+0.00"
"FLEETWOOD","TOMMY","-0.01","-0.00","+0.01","-0.00","-0.00"
"SPAUN","J.J.","-0.00","-0.00","-0.00","-0.00","-0.01"
"CANTER","LAURIE","+0.01","-0.00","-0.01","-0.00","-0.01"
