event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
The Open Championship,Royal Birkdale Golf Club,"Smyth, Trav",19232,47078,293,145,null,8:47 AM,early,1,1:53 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Southgate, Matthew",15191,35174,null,453,null,7:30 AM,early,1,12:36 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Spaun, J.J.",17536,39324,18,13,19,2:42 PM,late,1,9:36 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Spieth, Jordan",14636,34046,62,51,54,10:09 AM,early,1,3:15 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Stenson, Henrik",5994,21528,436,null,null,7:08 AM,early,1,12:14 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Stevens, Sam",25569,55893,95,47,50,9:03 AM,early,1,2:09 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Straka, Sepp",17511,49960,104,23,34,12:25 PM,late,1,7:19 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Suber, Jackson",29279,60019,91,115,81,12:36 PM,late,1,7:30 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Sullivan, Andy",15326,35314,210,122,null,6:46 AM,early,1,11:52 AM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Surratt, Caleb",30463,64054,249,293,null,10:53 AM,early,1,3:59 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Svensson, Jesper",26850,57586,170,165,117,1:53 PM,late,1,8:47 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Taylor, Nick",13126,25493,44,67,56,10:20 AM,early,1,3:26 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Theegala, Sahith",23014,51634,69,81,41,12:03 PM,late,1,6:57 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Thomas, Justin",14139,33448,21,19,37,9:47 AM,early,1,2:53 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Thorbjornsen, Michael",26649,57364,59,70,68,8:47 AM,early,1,1:53 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Truslow, Austen",18239,45733,339,396,null,3:59 PM,late,1,10:53 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Uihlein, Peter",11357,29484,269,189,null,3:48 PM,late,1,10:42 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Valimaki, Sami",23816,52666,120,73,142,12:36 PM,late,1,7:30 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Vincent, Scott",14559,34126,83,152,null,8:36 AM,early,1,1:42 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Wallace, Matt",20706,48887,66,72,91,11:52 AM,late,1,6:46 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Wiedemeyer, Tim",29973,63475,null,null,null,3:26 PM,late,1,10:20 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Wiesberger, Bernd",9531,29454,142,155,null,12:47 PM,late,1,7:41 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Woodland, Gary",12577,31323,60,43,26,7:52 AM,early,1,12:58 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Yang, Jiho",14419,70939,null,null,null,4:21 PM,late,1,11:15 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Yonezawa, Ren",25739,56100,288,249,null,10:53 AM,early,1,3:59 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Young, Cameron",26651,57366,9,4,3,3:04 PM,late,1,9:58 AM,early,1,null,null,null,null,null,null,1
