player_id,dg_id,last_name,first_name,tour_affiliation,data_depth_class,debut_flag,neutral_skill_sg,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,true_sg_last5,true_sg_vs_baseline,form_class,venue_history_depth,starts_at_renaissance,best_finish_renaissance,venue_fit_total_adj,predicted_app_150_200_share,predicted_driving_accuracy_fit
P083,23323,MACINTYRE,ROBERT,DP World Tour,FULL,False,0.2496,0.489,0.218,0.133,0.0,0.46,0.99,-0.42,COOL,STRONG,24.0,1.0,-0.08,-0.023,-0.02
P011,14502,CAULEY,BUD,DP World Tour,FULL,False,0.26685,0.214,0.359,0.385,0.0,0.785,1.83,1.15,HOT,THIN,4.0,55.0,-0.12,0.035,-0.05
P108,20730,PEREZ,VICTOR,DP World Tour,FULL,False,0.10224999999999998,0.186,0.175,-0.074,0.0,0.164,0.91,0.69,WARM,STRONG,26.0,10.0,-0.09,-0.008,-0.08
P117,21407,REITAN,KRISTOFFER,DP World Tour,FULL,False,0.1974,0.682,-0.012,-0.015,0.0,0.622,1.57,0.6,WARM,THIN,6.0,13.0,0.01,-0.002,-0.01
P142,13126,TAYLOR,NICK,DP World Tour,FULL,False,0.2359,0.022,0.45,0.359,0.0,0.346,0.62,-0.22,NEUTRAL,STRONG,16.0,19.0,-0.18,0.012,-0.08
P016,17576,CONNERS,COREY,DP World Tour,FULL,False,0.29164999999999996,0.226,0.611,0.05,0.0,0.758,0.34,-0.3,COOL,MODERATE,18.0,10.0,-0.19,0.046,-0.13
P032,11889,FOX,RYAN,DP World Tour,FULL,False,0.17459999999999998,0.177,0.29,0.1,0.0,0.488,1.03,0.58,WARM,MODERATE,24.0,12.0,0.12,-0.031,0.11
P131,18586,SMITH,JORDAN,DP World Tour,FULL,False,0.17189999999999997,0.361,0.24,-0.102,0.0,0.89,0.2,-0.31,COOL,STRONG,22.0,12.0,-0.03,0.01,-0.07
P137,17511,STRAKA,SEPP,DP World Tour,FULL,False,0.28219999999999995,0.163,0.734,-0.118,0.0,0.72,-0.91,-1.48,COLD,MODERATE,8.0,7.0,-0.08,0.019,-0.05
P025,14577,ENGLISH,HARRIS,DP World Tour,FULL,False,0.17359999999999998,0.417,0.07,0.12,0.0,0.45,1.34,-0.02,NEUTRAL,MODERATE,12.0,22.0,-0.14,0.002,-0.07
P077,16841,LEE,MIN WOO,DP World Tour,FULL,False,0.17575000000000002,0.544,-0.135,0.299,0.0,0.937,0.69,-0.37,COOL,MODERATE,18.0,1.0,0.04,-0.01,0.01
P143,23014,THEEGALA,SAHITH,DP World Tour,FULL,False,0.1338,-0.003,0.138,0.432,0.0,0.316,0.78,0.14,NEUTRAL,THIN,6.0,4.0,0.04,0.003,0.08
P034,29767,GERARD,RYAN,DP World Tour,FULL,False,0.22029999999999997,0.177,0.572,-0.165,0.0,0.935,1.35,0.44,WARM,THIN,4.0,74.0,-0.13,0.017,-0.06
P028,25362,FITZPATRICK,ALEX,DP World Tour,FULL,False,0.09115000000000001,0.164,0.081,0.068,0.0,1.457,1.78,1.26,HOT,THIN,4.0,,-0.21,0.019,-0.14
P130,18474,SMALLEY,ALEX,DP World Tour,FULL,False,0.137,0.205,0.198,0.031,0.0,0.757,0.93,0.19,NEUTRAL,MODERATE,10.0,10.0,-0.07,0.001,-0.03
P150,20706,WALLACE,MATT,DP World Tour,FULL,False,0.06349999999999999,-0.117,0.212,0.122,0.0,0.557,1.2,0.73,WARM,STRONG,24.0,26.0,-0.07,0.027,0.0
P101,23475,NOVAK,ANDREW,DP World Tour,FULL,False,0.1467,0.092,0.23,0.193,0.0,0.501,0.6,0.34,WARM,MODERATE,10.0,13.0,-0.04,0.009,-0.01
P121,18770,ROZNER,ANTOINE,DP World Tour,FULL,False,0.0924,-0.168,0.42,-0.021,0.0,0.247,-0.14,0.02,NEUTRAL,MODERATE,18.0,22.0,0.02,-0.002,0.01
P132,22985,SMOTHERMAN,AUSTIN,DP World Tour,FULL,True,0.27029999999999993,0.381,0.7,-0.445,0.0,1.088,-0.05,0.04,NEUTRAL,NONE,0.0,,-0.13,0.019,-0.13
P152,9531,WIESBERGER,BERND,DP World Tour,FULL,False,0.03459999999999999,-0.085,0.146,0.045,0.0,0.044,0.62,0.94,HOT,STRONG,16.0,26.0,-0.15,,-0.1
P041,8825,HARMAN,BRIAN,DP World Tour,FULL,False,0.14185,0.001,0.309,0.167,0.0,0.253,1.09,0.43,WARM,MODERATE,14.0,12.0,-0.2,0.014,-0.09
P062,32457,KEEFER,JOHNNY,DP World Tour,FULL,True,0.1901,0.502,0.362,-0.436,0.0,0.961,0.53,0.41,WARM,NONE,0.0,,0.12,0.031,0.02
P078,15310,LI,HAOTONG,DP World Tour,FULL,False,0.16115,0.364,0.345,-0.344,0.0,0.684,-0.87,-0.99,COLD,STRONG,20.0,21.0,0.06,0.011,0.01
P097,23841,NEERGAARD-PETERSEN,RASMUS,DP World Tour,FULL,False,0.19909999999999997,0.499,0.3,-0.278,0.0,0.469,0.15,-0.17,NEUTRAL,THIN,2.0,,-0.03,0.024,-0.06
P087,23505,MCGREEVY,MAX,DP World Tour,FULL,False,0.18620000000000003,0.267,0.23,0.128,0.0,0.614,0.24,-0.14,NEUTRAL,THIN,2.0,,-0.19,-0.009,-0.12
P156,17881,YU,KEVIN,DP World Tour,FULL,False,0.15885,0.368,0.127,0.02,0.0,0.196,0.15,0.0,NEUTRAL,MODERATE,8.0,34.0,0.04,0.021,0.0
P116,14838,REED,PATRICK,DP World Tour,FULL,True,0.25845,0.072,0.415,0.458,0.0,0.856,0.98,0.26,NEUTRAL,NONE,0.0,,-0.11,0.017,0.0
P103,13412,OLESEN,THORBJORN,DP World Tour,FULL,False,0.1325,0.226,0.154,0.054,0.0,0.369,-0.38,-0.68,COOL,STRONG,22.0,25.0,0.01,-0.017,0.01
P069,19396,KNAPP,JAKE,DP World Tour,FULL,False,0.19734999999999997,0.59,0.037,0.037,0.0,0.853,0.72,-0.73,COOL,THIN,4.0,22.0,0.12,-0.023,0.08
P026,21646,FERGUSON,EWEN,DP World Tour,FULL,False,0.006100000000000001,0.082,0.066,-0.208,0.0,0.485,0.28,0.31,WARM,STRONG,16.0,12.0,-0.17,,-0.13
P005,29197,BRENNAN,MICHAEL,DP World Tour,FULL,True,0.21705000000000002,0.914,0.083,-0.431,0.0,0.981,0.25,-0.16,NEUTRAL,NONE,0.0,,0.15,-0.022,0.01
P015,21756,COLE,ERIC,DP World Tour,FULL,False,0.04404999999999999,-0.539,0.337,0.439,0.0,-0.113,1.56,0.95,HOT,MODERATE,8.0,46.0,-0.04,0.024,0.08
