player_name,player_id,model_rank,tier,vts_final,neutral_skill_sg,neutral_skill_index,venue_fit_score,venue_fit_delta,venue_history_delta,pre_penalty_vts,debut_penalty_applied,anti_pattern_penalty_total,recent_form_gate_applied,health_gate_status,volatility_index,venue_variance_class,win_pct,top3_pct,top5_pct,top10_pct,top20_pct,make_cut_pct,miss_cut_pct,anti_pattern_flags,primary_trait_driver,primary_risk_trait,trait_summary_label,tee_time_rd1,tour,world_rank
"BRADLEY, KEEGAN",39,22,2,73.21,1.06,73.51,72.64,-0.87,0.0,73.21,0.0,0.0,False,ok,25.0,high,1.45,24.79,34.42,47.45,62.42,79.18,20.82,,ARG_TightRunoff,APP_FlightCtrl,ARG_TightRunoff + ARG_Bunker; weak APP_FlightCtrl,,PGA Tour,39.0
"TAYLOR, NICK",55,23,2,73.08,0.93,71.91,75.26,3.36,0.0,73.08,0.0,0.0,False,ok,25.0,high,1.44,24.54,34.15,47.19,62.22,79.06,20.94,,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind,,PGA Tour,63.0
"RAI, AARON",43,24,2,72.04,0.97,72.4,82.7,10.3,0.0,76.01,0.0,-1.32,False,ok,25.0,high,1.34,22.54,31.97,45.07,60.59,77.99,22.01,poor_lag_putting,OTT_Accuracy,APP_150-200,OTT_Accuracy + WindTolerance; weak APP_150-200,,PGA Tour,14.0
"BRIDGEMAN, JACOB",45,25,2,71.78,0.95,72.15,72.68,0.52,0.0,72.34,0.0,0.0,False,ok,25.0,high,1.32,22.06,31.43,44.55,60.18,77.71,22.29,,PUTT_LagCtrl,MajorGrind,PUTT_LagCtrl + OTT_Distance; weak MajorGrind,,PGA Tour,25.0
"DAY, JASON",57,26,2,70.48,0.92,71.78,70.52,-1.26,0.0,71.34,0.0,0.0,False,ok,25.0,high,1.2,19.78,28.84,41.93,58.08,76.2,23.8,,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind,,PGA Tour,47.0
"HARMAN, BRIAN",59,27,2,69.85,0.65,68.44,72.47,4.03,0.0,69.85,0.0,0.0,False,ok,25.0,high,1.15,18.73,27.62,40.66,57.03,75.4,24.6,,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + OTT_Accuracy; weak MajorGrind,,PGA Tour,59.0
"SCHAPER, JAYDEN",61,28,2,69.63,0.75,69.68,71.54,1.86,0.0,70.33,0.0,0.0,False,ok,25.0,high,1.13,18.37,27.2,40.22,56.66,75.11,24.89,,ARG_TightRunoff,APP_150-200,ARG_TightRunoff + OTT_Accuracy; weak APP_150-200,,DP World Tour,70.0
"KITAYAMA, KURT",25,29,2,69.54,1.29,76.36,76.72,0.36,0.0,76.49,0.0,-2.32,False,ok,25.0,high,1.12,18.22,27.02,40.04,56.51,74.98,25.02,weak_tight_runoff,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,,PGA Tour,31.0
"FITZPATRICK, ALEX",34,30,2,69.4,0.43,65.72,69.72,4.0,0.0,67.12,0.0,0.0,False,ok,75.0,high,1.34,22.0,32.7,48.59,68.78,87.26,12.74,,ARG_TightRunoff,APP_150-200,ARG_TightRunoff + OTT_Accuracy; weak APP_150-200,,PGA Tour,69.0
"PUTNAM, ANDREW",62,31,2,69.19,0.36,64.85,77.26,12.41,0.0,69.19,0.0,0.0,False,ok,25.0,high,1.1,17.68,26.37,39.35,55.93,74.52,25.48,,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind,,PGA Tour,85.0
"MCCARTY, MATT",58,32,2,68.9,0.71,69.18,68.36,-0.82,0.0,68.9,0.0,0.0,False,ok,25.0,high,1.07,17.22,25.82,38.76,55.42,74.1,25.9,,PUTT_LagCtrl,MajorGrind,PUTT_LagCtrl + OTT_Accuracy; weak MajorGrind,,PGA Tour,53.0
