Last Name,First Name,main-tour,L5-1 Place,L5 Tournament-1,L5 Tournament-Tour1,L5-2 Place,L5 Tournament-2,L5 Tournament-Tour2,L5-3 Place,L5 Tournament-3,L5 Tournament-Tour3,L5-4 Place,L5 Tournament-4,L5 Tournament-Tour4,L5-5 Place,L5 Tournament-5,L5 Tournament-Tour5,Last 20 Rds True-SG,Last 20 VERSUS BASELINE
RYDER,SAM,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T17,ONEflight Myrtle Beach Classic,PGA Tour,T31,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T45,RBC Canadian Open,PGA Tour,0.73,0.84
JENNINGS,WILLIAM,Amateur,T23,Mossy Oak Collegiate,Amateur,T3,2026 SEC Men's Golf Championship Stroke Play,Amateur,T1,NCAA Marana Regional,Amateur,2,NCAA DI Men's National Championship- Stroke Play,Amateur,T12,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,0.72,1.02
PUTNAM,ANDREW,PGA Tour,T18,Cadillac Championship,PGA Tour,T37,Truist Championship,PGA Tour,T55,PGA Championship,Major,T17,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,0.71,0.35
SUBER,JACKSON,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T19,ONEflight Myrtle Beach Classic,PGA Tour,4,THE CJ CUP Byron Nelson,PGA Tour,T67,Charles Schwab Challenge,PGA Tour,T4,RBC Canadian Open,PGA Tour,0.71,0.71
MITCHELL,KEITH,PGA Tour,T55,Cadillac Championship,PGA Tour,T65,PGA Championship,Major,5,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T29,RBC Canadian Open,PGA Tour,0.7,0.15
DETRY,THOMAS,LIV Golf,T6,Virginia,LIV Golf,CUT,PGA Championship,Major,T53,Soudal Open,DP World Tour,T41,Korea,LIV Golf,T5,Andalucia,LIV Golf,0.69,0.15
BHATIA,AKSHAY,PGA Tour,T23,Cadillac Championship,PGA Tour,T37,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T28,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,0.69,-0.39
AKINA,KIHEI,Amateur,2,The Goodwin,Amateur,5,79th Western Intercollegiate,Amateur,2,Big 12 Men's Golf Championship,Amateur,T14,NCAA Athens Regional,Amateur,T8,NCAA DI Men's National Championship- Stroke Play,Amateur,0.67,1.53
NORRIS,SHAUN,Japan Golf Tour,T6,The Crowns,Japan Golf Tour,2,Estrella Damm Catalunya Championship,DP World Tour,CUT,Japan PGA Championship Senko Group Cup,Japan Golf Tour,,Gate Way To The Open Mizuno Open,Japan Golf Tour,CUT,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,0.66,1.55
DOSSEY,COOPER,Korn Ferry Tour,CUT,Tulum Championship at PGA Riviera Maya,Korn Ferry Tour,T27,Colonial Life Charity Classic,Korn Ferry Tour,T3,Visit Knoxville Open,Korn Ferry Tour,T7,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,0.65,0.62
AYORA,ANGEL,DP World Tour,T33,Volvo China Open,DP World Tour,T18,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,CUT,PGA Championship,Major,T3,KLM Open,DP World Tour,0.65,-0.06
SHERWOOD,COLE,Korn Ferry Tour,T46,Tulum Championship at PGA Riviera Maya,Korn Ferry Tour,T7,Colonial Life Charity Classic,Korn Ferry Tour,T15,Visit Knoxville Open,Korn Ferry Tour,,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T14,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.64,0.97
LINDELL,OLIVER,DP World Tour,T43,Turkish Airlines Open,DP World Tour,T10,Estrella Damm Catalunya Championship,DP World Tour,T30,Soudal Open,DP World Tour,T47,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,2,KLM Open,DP World Tour,0.64,0.02
IM,SUNGJAE,PGA Tour,T5,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T9,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T32,the Memorial Tournament presented by Workday,PGA Tour,0.63,0.52
SMITH,CAMERON,LIV Golf,T26,Mexico City,LIV Golf,T39,Virginia,LIV Golf,T16,PGA Championship,Major,T7,Korea,LIV Golf,T5,Andalucia,LIV Golf,0.63,0.36
NOVAK,ANDREW,PGA Tour,T65,Cadillac Championship,PGA Tour,T24,Truist Championship,PGA Tour,T26,PGA Championship,Major,T54,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,0.62,0.26
YELLAMARAJU,SUDARSHAN,PGA Tour,T19,Truist Championship,PGA Tour,CUT,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,T40,the Memorial Tournament presented by Workday,PGA Tour,T8,RBC Canadian Open,PGA Tour,0.62,0.44
SCOTT,SANDY,Korn Ferry Tour,3,Tulum Championship at PGA Riviera Maya,Korn Ferry Tour,T44,Colonial Life Charity Classic,Korn Ferry Tour,T23,Visit Knoxville Open,Korn Ferry Tour,T36,UNC Health Championship,Korn Ferry Tour,WD,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,0.61,0.87
SNEDEKER,BRANDT,PGA Tour,T30,Zurich Classic of New Orleans,PGA Tour,,ONEflight Myrtle Beach Classic,PGA Tour,CUT,PGA Championship,Major,T28,Charles Schwab Challenge,PGA Tour,T36,the Memorial Tournament presented by Workday,PGA Tour,0.61,0.61
CARR,BEN,Korn Ferry Tour,T23,Colonial Life Charity Classic,Korn Ferry Tour,T39,Visit Knoxville Open,Korn Ferry Tour,T7,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,2,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.6,1.49
SNYMAN,IAN,Asian Tour,T3,The 45th GS Caltex Maekyung Open,ASA,,Taiwan Glass Taifong Open,ASA,T10,Kolon The 68th KOREA Open,ASA,T15,am green IGPL Bharath Classic,Asian Tour,T5,International Series Morocco presented by Visit Morocco,Asian Tour,0.6,1.28
KOHLES,BEN,PGA Tour,12,Colonial Life Charity Classic,Korn Ferry Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T29,RBC Canadian Open,PGA Tour,0.6,0.61
LEE,MIN WOO,PGA Tour,T60,RBC Heritage,PGA Tour,T18,Cadillac Championship,PGA Tour,T14,Truist Championship,PGA Tour,T18,PGA Championship,Major,CUT,the Memorial Tournament presented by Workday,PGA Tour,0.58,-0.54
PENDRITH,TAYLOR,PGA Tour,T37,Truist Championship,PGA Tour,T44,PGA Championship,Major,T47,THE CJ CUP Byron Nelson,PGA Tour,T43,the Memorial Tournament presented by Workday,PGA Tour,T29,RBC Canadian Open,PGA Tour,0.57,0.05
PONDER,THOMAS,PGA Tour Americas,T6,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,T10,Diners Club Peru Open,PGA Tour Americas,3,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,4,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,T9,Inter Rapidisimo Golf Championship,PGA Tour Americas,0.56,1.21
MOORE,TAYLOR,PGA Tour,T20,Zurich Classic of New Orleans,PGA Tour,T17,ONEflight Myrtle Beach Classic,PGA Tour,T14,THE CJ CUP Byron Nelson,PGA Tour,T60,Charles Schwab Challenge,PGA Tour,T40,RBC Canadian Open,PGA Tour,0.56,0.54
GREYSERMAN,MAX,PGA Tour,T31,ONEflight Myrtle Beach Classic,PGA Tour,T14,PGA Championship,Major,T9,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,0.55,0.12
