Last Name,First Name,main-tour-inner,main-tour-hover,L5 Tournament-Type 1,L5 Tournament-Type 1,L5 Place-Type 1,L5 Tournament-Type 2,L5 Tournament-Type 2,L5 Place-Type 2,L5 Tournament-Type 3,L5 Tournament-Type 3,L5 Place-Type 3,L5 Tournament-Type 4,L5 Tournament-Type 4,L5 Place-Type 4,L5 Tournament-Type 5,L5 Tournament-Type 5,L5 Place-Type 5,SG-PUTT,SG-ARG
ECHAVARRIA,NICO,PGA,PGA Tour,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,T6,the Memorial Tournament presented by Workday,PGA Tour,T40,U.S. Open,Major,T56,Travelers Championship,PGA Tour,T30,0.59,0.23
IM,SUNGJAE,PGA,PGA Tour,THE CJ CUP Byron Nelson,PGA Tour,T43,Charles Schwab Challenge,PGA Tour,T9,the Memorial Tournament presented by Workday,PGA Tour,CUT,U.S. Open,Major,T30,Travelers Championship,PGA Tour,T32,0.58,0.37
AYORA,ANGEL,DPT,DP World Tour,Turkish Airlines Open,DP World Tour,T3,Estrella Damm Catalunya Championship,DP World Tour,T18,PGA Championship,Major,CUT,KLM Open,DP World Tour,5,DS Automobiles 83° Open d’Italia,DP World Tour,CUT,0.57,-0.15
SNYMAN,IAN,ASA,Asian Tour,The 45th GS Caltex Maekyung Open,ASA,T15,Taiwan Glass Taifong Open,ASA,T3,Kolon The 68th KOREA Open,ASA,1,am green IGPL Bharath Classic,Asian Tour,T5,International Series Morocco presented by Visit Morocco,Asian Tour,T10,0.55,1.27
GREYSERMAN,MAX,PGA,PGA Tour,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,T14,Charles Schwab Challenge,PGA Tour,T9,RBC Canadian Open,PGA Tour,T43,U.S. Open,Major,CUT,0.55,0.22
SCOTT,SANDY,KFT,Korn Ferry Tour,Tulum Championship at PGA Riviera Maya,Korn Ferry Tour,T44,Colonial Life Charity Classic,Korn Ferry Tour,3,Visit Knoxville Open,Korn Ferry Tour,T36,UNC Health Championship,Korn Ferry Tour,WD,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T23,0.55,0.85
JAMES,BEN,PGA,PGA Tour,NCAA Winston-Salem Regional,Amateur,1,NCAA DI Men's National Championship- Stroke Play,Amateur,T16,RBC Canadian Open,PGA Tour,T54,U.S. Open,Major,T23,Travelers Championship,PGA Tour,T62,0.55,0.23
MOORE,TAYLOR,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T60,ONEflight Myrtle Beach Classic,PGA Tour,T20,THE CJ CUP Byron Nelson,PGA Tour,T17,Charles Schwab Challenge,PGA Tour,T40,RBC Canadian Open,PGA Tour,T14,0.52,0.54
MORRISON,TOMMY,AM,Amateur,2026 SEC Men's Golf Championship Stroke Play,Amateur,T10,NCAA Bryan Regional,Amateur,T17,NCAA DI Men's National Championship- Stroke Play,Amateur,T5,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T5,Memorial Health Championship presented by LRS,Korn Ferry Tour,T10,0.52,1.01
EWART,A.J.,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T17,ONEflight Myrtle Beach Classic,PGA Tour,T20,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T29,RBC Canadian Open,PGA Tour,T19,0.5,0.68
