course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
"The Old White TPC",70,7113,451,198,-0.83,0.05,-0.03,-0.34,291.1,18.8,0.6592,0.005,0.008,0.044,0.029,36.6,0.34,0.25,0.5,0.0461,0.6983,0.034,0.052,0.031,-0.006,-0.025,0.004,0.002,0.008,0.24,0.07
"The Philadelphia Cricket Club (Wissahickon Course)",70,7103,456,179,-0.31,0.06,0.02,-0.41,296.3,19.8,0.5566,-0.011,-0.014,0.028,0.008,35.4,0.28,0.23,0.42,0.005,0.7197,0.039,0.018,0.013,-0.021,-0.023,-0.003,-0.017,-0.019,0.09,0.03
"The Renaissance Club",70,7113,479,178,0.2,0.06,0.09,-0.33,295,20.3,0.5171,-0.016,0.063,0.005,-0.01,32.2,0.29,0.22,0.59,0.0082,0.6499,-0.01,0.012,0.062,0.091,-0.043,-0.024,-0.033,0.012,0.05,0.02
"The Riviera Country Club",71,7248,463,191,0.51,0.09,0.13,-0.43,286.6,19.5,0.5212,-0.018,0.008,0.012,-0.029,34.1,0.24,0.16,0.45,0.0065,0.5629,-0.006,0.018,0.002,0.044,-0.051,-0.011,-0.036,-0.013,0.08,0.04
"The Summit Club",72,7359,474,181,-3.05,-0.03,-0.09,-0.52,298.4,19.8,0.6491,0,0.048,0.085,0.056,37,0.34,0.16,0.41,0.0543,0.7235,0.09,0.082,0.054,0.084,-0.009,0,-0.003,0.004,0.44,0.03
"Torrey Pines Golf Course (South Course)",72,7593,487,194,1.08,0.09,0.17,-0.25,290.5,15.7,0.5299,-0.018,0.001,-0.001,-0.026,26.8,0.34,0.31,0.34,0.0174,0.611,-0.013,0.004,0.024,-0.018,-0.004,-0.012,-0.042,-0.007,0.19,0.02
"Torrey Pines South (Genesis Inv.)",72,7599,488,190,1.11,0.12,0.17,-0.26,290.5,14.9,0.5366,-0.026,0.033,-0.006,-0.063,27.8,0.32,0.28,0.3,0.0209,0.6153,0.004,-0.01,0.053,0.008,0.043,-0.016,-0.066,-0.011,0.27,0.04
"Torrey Pines South (U.S. Open)",71,7635,490,194,2.57,0.18,0.2,-0.12,300.8,17.8,0.487,-0.014,-0.02,-0.027,-0.003,28.9,0.3,0.27,0.33,0.0111,0.5615,-0.049,-0.017,0.005,-0.034,-0.021,-0.005,-0.025,-0.019,0.15,0.01
"Trinity Forest Golf Club",71,7120,457,178,-1.8,-0.02,-0.02,-0.49,287.3,18.4,0.816,-0.003,-0.008,0.042,0.059,59.9,0.38,0.21,0.45,0.0427,0.7615,0.027,0.048,-0.012,0.026,-0.023,-0.003,-0.011,0.005,0.14,0.02
"Trump National Doral - Blue Monster Course",72,7507,479,199,1.12,0.17,0.13,-0.23,290.1,18.8,0.5197,0.006,0.007,-0.036,-0.036,36.5,0.36,0.29,0.32,0.0508,0.6202,-0.024,-0.042,0.031,0.004,-0.003,0.005,0.011,0.002,0.82,0.12
"Valhalla Golf Club",71,7397,471,201,0.31,0.06,0.1,-0.33,282.3,14.9,0.6607,0.002,-0.007,0.02,-0.009,39.2,0.37,0.32,0.34,0.0409,0.6197,0.003,0.026,-0.007,-0.022,0.009,-0.002,-0.002,0.013,0.39,0.02
"Vidanta Vallarta",71,7336,495,182,-1.41,0.01,0.02,-0.42,299.1,17.2,0.6586,0.006,0.054,0.019,0.029,41.4,0.32,0.2,0.4,0.0734,0.6785,0.043,0.013,0.037,0.087,0.023,0.001,0.007,0.013,0.57,0.04
"Waialae Country Club",70,7025,449,185,-1.17,0.04,0,-0.65,291.7,21.1,0.5675,0.002,0.034,0.029,0.012,35.2,0.31,0.29,0.25,0.0365,0.695,0.04,0.024,0.031,0.02,0.045,0,0.003,0.006,0.24,0.05
"Whistling Straits",72,7313,467,192,1.03,0.12,0.16,-0.26,283.7,17.5,0.5997,0.009,-0.074,-0.028,0.006,29.6,0.41,0.4,0.55,0.0196,0.6018,-0.075,0.002,-0.018,-0.074,-0.241,0.005,0.034,-0.007,0.26,0.03
"Wilmington Country Club",71,7424,475,194,0.17,0.1,0.03,-0.19,303.3,21.4,0.4477,0.007,0.002,-0.002,0.019,27.8,0.27,0.29,0.32,0,0.6523,-0.015,0.009,-0.009,-0.024,0.05,-0.001,0.03,0.001,0.2,0.03
"Winged Foot GC",70,7392,470,204,4.45,0.29,0.29,-0.11,288.6,23,0.4631,-0.029,-0.072,-0.016,-0.069,31.9,0.3,0.35,0.41,0.0032,0.5063,-0.008,-0.018,-0.049,-0.115,-0.022,-0.015,-0.024,-0.058,0.05,0
