Last Name,First Name,main-tour-L20 Rds,Last 5 Starts-Tour-Start 1,Last 5 Starts-Event-Start 1,Last 5 Starts-Finish-Start 1,Last 5 Starts-Tour-Start 2,Last 5 Starts-Event-Start 2,Last 5 Starts-Finish-Start 2,Last 5 Starts-Tour-Start 3,Last 5 Starts-Event-Start 3,Last 5 Starts-Finish-Start 3,Last 5 Starts-Tour-Start 4,Last 5 Starts-Event-Start 4,Last 5 Starts-Finish-Start 4,Last 5 Starts-Tour-Start 5,Last 5 Starts-Event-Start 5,Last 5 Starts-Finish-Start 5,True SG,True SG vs Baseline
RYDER,SAM,PGA,PGA Tour,Zurich Classic of New Orleans,CUT,PGA Tour,ONEflight Myrtle Beach Classic,CUT,PGA Tour,THE CJ CUP Byron Nelson,T17,PGA Tour,Charles Schwab Challenge,T45,PGA Tour,RBC Canadian Open,T31,0.73,0.77
HOMA,MAX,PGA,PGA Tour,Truist Championship,2,PGA Tour,PGA Championship,CUT,Major,Charles Schwab Challenge,T22,PGA Tour,RBC Canadian Open,T52,PGA Tour,John Deere Classic,T20,0.72,0.06
KNAPP,JAKE,PGA,PGA Tour,Texas Children's Houston Open,T6,PGA Tour,Masters Tournament,11,Major,RBC Heritage,T74,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T55,0.72,-0.73
MCCARTHY,DENNY,PGA,PGA Tour,PGA Championship,CUT,Major,the Memorial Tournament presented by Workday,T34,PGA Tour,RBC Canadian Open,T60,PGA Tour,Travelers Championship,T44,PGA Tour,John Deere Classic,T14,0.71,0.24
KOEPKA,BROOKS,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T11,PGA Tour,PGA Championship,T55,Major,THE CJ CUP Byron Nelson,T14,PGA Tour,RBC Canadian Open,WD,PGA Tour,U.S. Open,CUT,0.71,0.46
BROWN,BLADES,KFT,Korn Ferry Tour,THE CJ CUP Byron Nelson,T55,PGA Tour,UNC Health Championship,T13,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T14,Korn Ferry Tour,Memorial Health Championship presented by LRS,T12,Korn Ferry Tour,John Deere Classic,T17,0.69,0.64
LEE,MIN WOO,PGA,PGA Tour,Truist Championship,T14,PGA Tour,PGA Championship,T18,Major,the Memorial Tournament presented by Workday,CUT,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T62,0.69,-0.37
KANEKO,KOTA,DPT,DP World Tour,PGA Championship,T11,Major,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T2,DP World Tour,DS Automobiles 83° Open d’Italia,1,DP World Tour,BMW International Open,CUT,0.66,0.77
TAYLOR,NICK,PGA,PGA Tour,PGA Championship,T26,Major,the Memorial Tournament presented by Workday,T43,PGA Tour,RBC Canadian Open,T65,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T25,0.62,-0.22
WIESBERGER,BERND,DPT,DP World Tour,PGA Championship,CUT,Major,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,T4,DP World Tour,DS Automobiles 83° Open d’Italia,T21,DP World Tour,BMW International Open,3,0.62,0.94
