position,player_name,course,score,thru,today (r3),sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
CUT,"Paul, Jeremy",AN,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Skinns, David",AN,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Campos, Rafael",AN,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Walker, Danny",AN,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Tosti, Alejandro",AN,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Homa, Max",AN,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Rodgers, Patrick",AN,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Fahrny, Brannon",AN,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Kuchar, Matt",AN,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Schultz, Cooper",AN,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Coody, Pierceson",AN,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Campbell, Thomas",AN,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Sihota, Jeevan",AN,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Malnati, Peter",AN,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Wise, Aaron",AN,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Hirata, Kensei",AN,8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Snedeker, Brandt",AN,8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Lindheim, Nicholas",AN,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
WD,"Kizzire, Patton",AN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
