player_id,last_name,first_name,approach_150_200_score,approach_overall_score,driving_accuracy_score,corridor_discipline,sg_putt_regressed,sg_arg_score,par3_performance,form_trend,form_class,anti_pattern_flags,debut_discount_applied,confidence_band,tvl_score,hew_score,brie_score,vfr_score
P111,PUIG,DAVID,-0.035,0.02,0.08,50.0,0.0,0.09,46.925,0.02,NEUTRAL,weak-APP/no-CH|bomb-and-spray|renaissance-debut|ANTI-PATTERN,True,VERY_WIDE,0.679,0.323,-0.205,0.09
P115,RAVETTO,DAVID,,0.03,-0.04,50.0,0.0,-0.185,41.42,0.33,WARM,weak-APP/no-CH,False,WIDE,0.166,-0.058,-0.572,-0.185
P073,LAGERGREN,JOAKIM,,0.04,0.13,50.0,0.0,-0.157,46.445,-0.04,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.055,-0.764,-0.237,-0.157
P039,GUMBERG,JORDAN,,0.05,-0.19,50.0,0.0,-0.228,40.475,-0.43,COOL,weak-APP/no-CH,False,VERY_WIDE,0.326,-0.039,-0.635,-0.228
P106,PAVON,MATTHIEU,-0.04,0.02,-0.03,50.0,0.0,0.053,43.775,0.04,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.034,-0.224,-0.415,0.053
P122,SADDIER,ADRIEN,-0.017,0.01,-0.05,50.0,0.0,-0.166,49.715,-0.3,COOL,weak-APP/no-CH,False,VERY_WIDE,0.148,-0.193,-0.019,-0.166
P038,GUERRIER,JULIEN,,0.02,-0.01,50.0,0.0,0.151,44.269999999999996,-0.27,NEUTRAL,weak-APP/no-CH,False,WIDE,0.008,0.052,-0.382,0.151
P048,HOFFMAN,CHARLEY,0.002,0.04,0.07,50.0,0.0,-0.451,49.925,0.17,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.246,-0.914,-0.005,-0.451
P104,OTAEGUI,ADRIAN,,0.02,-0.11,50.0,0.0,0.202,48.785,-0.18,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.624,-1.305,-0.081,0.202
P146,VAN DRIEL,DARIUS,,0.02,-0.1,50.0,0.0,0.004,44.39,-0.29,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.244,-0.499,-0.374,0.004
P148,VEERMAN,JOHANNES,,0.06,0.11,50.0,0.0,-0.409,47.435,-0.75,COOL,none,False,WIDE,-0.523,-1.527,-0.171,-0.409
P092,MIGLIOZZI,GUIDO,,0.02,0.04,50.0,0.0,0.025,44.495,0.63,WARM,weak-APP/no-CH,False,MODERATE,-0.557,-0.67,-0.367,0.025
P123,SCHAPER,JAYDEN,,0.0,-0.14,50.0,0.0,-0.061,46.595,-1.02,COLD,weak-APP/no-CH|renaissance-debut|ANTI-PATTERN,True,VERY_WIDE,0.229,0.105,-0.227,-0.061
P149,VON DELLINGSHAUSEN,NICOLAI,,0.04,0.02,50.0,0.0,-0.041,41.78,0.28,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.145,-0.83,-0.548,-0.041
P046,HILL,CALUM,,0.01,0.03,50.0,0.0,-0.092,43.355,0.37,WARM,weak-APP/no-CH,False,MODERATE,-0.45,-0.172,-0.443,-0.092
P019,DAVIS,CAM,-0.03,0.05,0.12,50.0,0.0,-0.115,45.23,-0.81,COLD,none,False,WIDE,-0.546,-1.654,-0.318,-0.115
P164,VILIPS,KARL,-0.008,0.01,0.13,50.0,0.0,-0.069,49.925,-0.06,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.479,-0.556,-0.005,-0.069
P033,FRITTELLI,DYLAN,,0.03,0.16,50.0,0.0,0.44,42.08,0.39,WARM,weak-APP/no-CH,False,MODERATE,-0.549,-0.633,-0.528,0.44
P079,LINDBERG,MIKAEL,,0.04,0.09,50.0,0.0,-0.039,39.89,0.01,NEUTRAL,weak-APP/no-CH|bomb-and-spray|renaissance-debut|ANTI-PATTERN,True,VERY_WIDE,0.635,0.239,-0.674,-0.039
P120,ROY,KEVIN,-0.059,0.03,0.0,50.0,0.0,0.164,45.8,-0.97,COLD,weak-APP/no-CH|renaissance-debut|ANTI-PATTERN,True,VERY_WIDE,0.095,-0.46,-0.28,0.164
P053,HOSHINO,RIKUYA,,0.05,-0.02,50.0,0.0,-0.199,43.685,0.26,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.468,-1.034,-0.421,-0.199
P154,WU,ASHUN,,0.03,-0.03,50.0,0.0,0.134,41.54,0.66,WARM,weak-APP/no-CH,False,MODERATE,-0.725,-1.048,-0.564,0.134
P057,JAMIESON,SCOTT,,0.06,-0.01,50.0,0.0,0.085,38.45,0.24,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.265,-1.536,-0.77,0.085
P100,NORRIS,SHAUN,,0.03,-0.02,50.0,0.0,-0.208,42.394999999999996,1.19,HOT,weak-APP/no-CH,False,WIDE,-0.552,-0.651,-0.507,-0.208
P091,MERONK,ADRIAN,0.0,0.03,0.12,50.0,0.0,-0.148,42.485,-0.31,COOL,weak-APP/no-CH,False,WIDE,-0.289,-0.624,-0.501,-0.148
P071,KRUYSWIJK,JACQUES,,0.03,-0.01,50.0,0.0,-0.163,42.665,-0.32,COOL,weak-APP/no-CH,False,VERY_WIDE,-0.497,-0.657,-0.489,-0.163
P045,HIGHSMITH,JOE,-0.029,0.03,0.07,50.0,0.0,-0.133,47.405,0.1,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.357,-0.648,-0.173,-0.133
P127,SCHOTT,FREDDY,,0.03,0.09,50.0,0.0,-0.137,42.08,0.11,NEUTRAL,weak-APP/no-CH|renaissance-debut|ANTI-PATTERN,True,VERY_WIDE,-0.147,-0.234,-0.528,-0.137
P007,CAMPBELL,BRIAN,-0.023,0.03,-0.11,50.0,0.0,-0.07,48.125,-0.21,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.691,-1.065,-0.125,-0.07
P061,KATSURAGAWA,YUTO,,0.04,-0.03,50.0,0.0,-0.23,41.795,0.16,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.141,-0.913,-0.547,-0.23
P076,LEE,JUNGHWAN,,0.06,0.0,50.0,0.0,-0.23,37.894999999999996,0.1,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.436,-1.647,-0.807,-0.23
P095,NAIDOO,DYLAN,,0.08,0.03,50.0,0.0,-0.014,34.879999999999995,0.47,WARM,weak-APP/no-CH,False,WIDE,-0.29,-1.663,-1.008,-0.014
P118,RILEY,DAVIS,-0.034,0.05,0.2,50.0,0.0,-0.195,41.735,0.23,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.876,-1.706,-0.551,-0.195
P102,OK,TAEHOON,,0.05,-0.04,50.0,0.0,0.553,38.855000000000004,-1.04,COLD,weak-APP/no-CH|renaissance-debut|ANTI-PATTERN,True,VERY_WIDE,-0.386,-1.135,-0.743,0.553
P074,LARRAZABAL,PABLO,,0.06,0.06,50.0,0.0,-0.233,41.33,-0.33,COOL,weak-APP/no-CH,False,WIDE,-0.563,-1.001,-0.578,-0.233
P153,WILLETT,DANNY,-0.091,0.05,0.06,50.0,0.0,-0.041,38.6,0.14,NEUTRAL,weak-APP/no-CH,False,WIDE,-0.525,-1.234,-0.76,-0.041
P059,JOHNSTON,RYGGS,,0.07,0.14,50.0,0.0,-0.328,36.065,-0.67,COOL,weak-APP/no-CH,False,VERY_WIDE,-0.425,-1.361,-0.929,-0.328
P138,STRYDOM,OCKIE,,0.1,0.12,50.0,0.0,-0.332,28.174999999999997,-0.09,NEUTRAL,weak-APP/no-CH,False,WIDE,-1.088,-2.941,-1.455,-0.332
