player_id,last_name,first_name,tour_affiliation,data_depth_class,debut_flag,neutral_skill_sg,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,true_sg_last5,true_sg_vs_baseline,form_class,venue_history_depth,starts_at_renaissance,best_finish_renaissance,venue_fit_total_adj,predicted_app_150_200_share,predicted_driving_accuracy_fit
P118,RILEY,DAVIS,PGA Tour,FULL,False,-0.444,-0.88,-0.58,-0.08,0.26,-1.54,-1.03,0.23,NEUTRAL,MODERATE,8.0,35.0,0.23,-0.034,0.2
P154,WU,ASHUN,DP World Tour,FULL,False,-0.179,-0.72,-0.42,-0.04,0.4,-1.18,-0.08,0.66,WARM,STRONG,20.0,65.0,-0.09,0.0,-0.03
P164,VILIPS,KARL,PGA Tour,FULL,True,-0.1485,-0.48,-0.11,-0.04,0.28,-0.63,-0.36,-0.06,NEUTRAL,NONE,,,0.12,-0.008,0.13
P129,SIEM,MARCEL,DP World Tour,FULL,False,-0.5215,-0.16,-0.75,-0.25,-0.34,-1.16,-2.04,-0.55,COOL,MODERATE,12.0,34.0,0.06,0.0,-0.01
P019,DAVIS,CAM,PGA Tour,FULL,False,-0.6460000000000001,-0.55,-0.72,-0.2,-0.18,-1.47,-2.47,-0.81,COLD,THIN,6.0,26.0,0.2,-0.03,0.12
P045,HIGHSMITH,JOE,PGA Tour,FULL,False,-0.359,-0.36,-0.38,-0.14,-0.6,-0.87,-1.48,0.1,NEUTRAL,THIN,2.0,,0.12,-0.029,0.07
P048,HOFFMAN,CHARLEY,PGA Tour,FULL,False,-0.494,-0.25,-0.67,-0.45,-0.63,-1.37,-1.98,0.17,NEUTRAL,MODERATE,10.0,57.0,0.18,0.002,0.07
P076,LEE,JUNGHWAN,DP World Tour,FULL,False,-0.428,-0.44,-0.83,-0.29,0.35,-1.55,-1.15,0.1,NEUTRAL,THIN,6.0,46.0,-0.01,0.0,0.0
P106,PAVON,MATTHIEU,PGA Tour,FULL,False,-0.132,-0.03,-0.36,-0.09,0.14,-0.48,-0.21,0.04,NEUTRAL,MODERATE,20.0,36.0,0.0,-0.04,-0.03
P038,GUERRIER,JULIEN,DP World Tour,FULL,False,-0.0295,0.01,-0.17,0.06,0.1,-0.1,-0.41,-0.27,NEUTRAL,MODERATE,13.0,70.0,-0.02,0.0,-0.01
P122,SADDIER,ADRIEN,PGA Tour,FULL,False,-0.004000000000000002,0.15,-0.09,0.01,-0.13,0.06,-0.57,-0.3,COOL,THIN,2.0,,-0.04,-0.017,-0.05
P127,SCHOTT,FREDDY,DP World Tour,FULL,True,-0.332,-0.15,-0.67,-0.15,-0.15,-0.97,-0.78,0.11,NEUTRAL,NONE,0.0,,0.22,0.0,0.09
P115,RAVETTO,DAVID,DP World Tour,FULL,False,-0.205,0.17,-0.44,-0.18,-0.44,-0.45,-0.5,0.33,WARM,THIN,2.0,,0.05,0.0,-0.04
P095,NAIDOO,DYLAN,DP World Tour,FULL,False,-0.5820000000000001,-0.29,-1.18,-0.08,-0.44,-1.55,-1.63,0.47,WARM,THIN,2.0,,0.11,0.0,0.03
P082,LUITEN,JOOST,DP World Tour,FULL,False,-0.1665,0.08,-0.12,-0.17,0.09,-0.21,-1.06,-0.64,COOL,MODERATE,16.0,54.0,-0.02,0.0,-0.05
P018,COUVRA,MARTIN,DP World Tour,FULL,False,-0.1485,-0.02,-0.18,-0.12,-0.37,-0.31,-0.35,0.14,NEUTRAL,THIN,4.0,73.0,-0.05,0.0,-0.04
P153,WILLETT,DANNY,PGA Tour,FULL,False,-0.39,-0.53,-0.73,-0.02,0.19,-1.28,-1.18,0.14,NEUTRAL,MODERATE,10.0,,0.05,-0.091,0.06
P074,LARRAZABAL,PABLO,DP World Tour,FULL,False,-0.45799999999999996,-0.56,-0.71,0.01,-0.29,-1.26,-2.14,-0.33,COOL,MODERATE,16.0,,0.09,0.0,0.06
P120,ROY,KEVIN,PGA Tour,FULL,True,-0.2865,0.09,-0.52,0.11,0.27,-0.31,-1.09,-0.97,COLD,NONE,0.0,,0.03,-0.059,0.0
P146,VAN DRIEL,DARIUS,DP World Tour,FULL,False,-0.23249999999999998,-0.24,-0.29,-0.13,-0.22,-0.66,-1.03,-0.29,NEUTRAL,MODERATE,8.0,54.0,-0.13,0.0,-0.1
P059,JOHNSTON,RYGGS,DP World Tour,FULL,False,-0.698,-0.42,-0.95,-0.19,-0.45,-1.57,-2.77,-0.67,COOL,THIN,2.0,,0.28,0.0,0.14
P071,KRUYSWIJK,JACQUES,DP World Tour,FULL,False,-0.298,-0.5,-0.37,-0.04,-0.07,-0.91,-1.1,-0.32,COOL,THIN,6.0,65.0,-0.03,0.0,-0.01
P057,JAMIESON,SCOTT,DP World Tour,FULL,False,-0.49250000000000005,-0.26,-0.9,-0.19,-0.41,-1.36,-1.06,0.24,NEUTRAL,MODERATE,14.0,,0.05,0.0,-0.01
P053,HOSHINO,RIKUYA,DP World Tour,FULL,False,-0.38399999999999995,-0.47,-0.65,-0.34,0.35,-1.46,-0.76,0.26,NEUTRAL,THIN,2.0,,0.0,0.0,-0.02
P104,OTAEGUI,ADRIAN,DP World Tour,FULL,False,-0.359,-0.62,-0.33,0.08,-0.49,-0.87,-1.0,-0.18,NEUTRAL,MODERATE,22.0,42.0,-0.18,0.0,-0.11
P061,KATSURAGAWA,YUTO,DP World Tour,FULL,False,-0.3125,-0.14,-0.55,-0.09,-0.4,-0.78,-0.91,0.16,NEUTRAL,THIN,4.0,,0.01,0.0,-0.03
P123,SCHAPER,JAYDEN,DP World Tour,FULL,True,-0.1315,0.23,-0.07,0.14,0.0,0.31,-0.47,-1.02,COLD,NONE,0.0,,-0.19,0.0,-0.14
